Time (s),Sound pressure level (dB)
257.0,-55.797148154113515
257.25,-52.55775865424971
257.5,-54.15513747752927
257.75,-54.007603790543854
258.0,-49.284652134700025
258.25,-56.095144566109376
258.5,-52.340084716479645
258.75,-53.01022077062268
259.0,-61.563847661322484
259.25,-58.011264614204286
259.5,-54.67291847510068
259.75,-51.20130532040697
260.0,-53.35762606729803
260.25,-57.18309100440476
260.5,-50.911749736965774
260.75,-50.813809379364315
261.0,-63.50230174877224
261.25,-47.38117295788639
261.5,-49.55675663859991
261.75,-42.79332696439813
262.0,-61.75944263937868
262.25,-50.42245828162467
262.5,-58.973990738432306
262.75,-58.54385599395473
263.0,-57.27343187554232
263.25,-54.29250044510601
263.5,-55.425751572396734
263.75,-59.65938749181555
264.0,-54.189051851010205
264.25,-44.55676953736645
264.5,-56.155787139659346
264.75,-48.73472929814767
265.0,-57.704844186351835
265.25,-46.21061637211534
265.5,-49.95432142851311
265.75,-58.98345739495541
266.0,-49.62064319621247
266.25,-53.44475375052412
266.5,-50.604666958561
266.75,-52.95049160847516
267.0,-47.51324965164341
