"Time (s)","Sound pressure level (dB)"
5.586654310E2,-2.939339445E1
5.588657960E2,-2.787891628E1
5.590660830E2,-4.303807361E1
5.592661123E2,-4.516560158E1
5.594659270E2,-4.410675400E1
5.596658978E2,-4.573447721E1
5.598654683E2,-2.094005623E1
5.600657539E2,-3.564218123E1
5.602655354E2,-3.060944217E1
5.604656594E2,-4.412827973E1
5.606657036E2,-3.581680130E1
5.608656514E2,-2.929928279E1
5.610635585E2,-2.917510104E1
5.612652298E2,-3.945766369E1
5.614578016E2,-3.022383877E1
5.616582948E2,-4.337129747E1
5.618591483E2,-3.508986800E1
5.620619222E2,-3.594541183E1
5.622590901E2,-4.529776872E1
5.624669410E2,-3.730149275E1
5.626605576E2,-3.833147964E1
5.628614929E2,-4.468047807E1
5.630602690E2,-3.473507845E1
5.632661132E2,-4.345656146E1
5.634656646E2,-3.153399600E1
5.636655428E2,-3.233732961E1
5.638660024E2,-2.434942130E1
5.640638984E2,-2.819683735E1
5.642629538E2,-3.205160270E1
5.644605720E2,-4.192886097E1
5.646601215E2,-5.111152741E1
5.648620228E2,-2.332147827E1
5.650601836E2,-3.790094985E1
5.652657067E2,-2.782569878E1
5.654663236E2,-4.061257297E1
5.656660747E2,-2.974500194E1
5.658657376E2,-2.860661872E1
5.660669256E2,-2.153049155E1
5.662661486E2,-2.848028377E1
5.664656132E2,-4.212865840E1
5.666662733E2,-3.094889056E1
5.668665025E2,-2.952199179E1
5.670654876E2,-3.188401782E1
5.672662486E2,-4.117519326E1
5.674662677E2,-4.325250980E1
5.676644911E2,-2.318348606E1
5.678653166E2,-2.739778397E1
5.680656246E2,-2.157743121E1
5.682658076E2,-3.956038723E1
5.684599596E2,-3.075131979E1
5.686660046E2,-2.377410426E1
5.688656308E2,-3.056102637E1
5.690664628E2,-2.721348602E1
5.692648876E2,-2.423842613E1
5.694657289E2,-2.803450393E1
5.696653390E2,-3.918880514E1
5.698665573E2,-2.363421550E1
5.700574696E2,-2.201795728E1
5.702666800E2,-2.818604348E1
5.704657913E2,-2.557428196E1
5.706648083E2,-3.667968678E1
5.708653942E2,-2.173750534E1
5.710676809E2,-1.846402424E1
5.712647769E2,-2.627355820E1
5.714653705E2,-1.986305462E1
5.716657363E2,-1.726174869E1
5.718655787E2,-2.066663941E1
5.720653689E2,-2.238742605E1
5.722654910E2,-2.886847407E1
5.724604409E2,-2.514349518E1
5.726659305E2,-1.785882442E1
5.728669009E2,-1.883430420E1
5.730662941E2,-2.740971796E1
5.732657120E2,-1.938393637E1
5.734658711E2,-2.309491670E1
5.736595591E2,-1.890667566E1
5.738661200E2,-2.387573201E1
5.740661505E2,-2.421954650E1
5.742661108E2,-2.412189819E1
5.744654782E2,-4.104855042E1
5.746655071E2,-2.861469035E1
5.748611963E2,-4.926924388E1
5.750656901E2,-4.039660519E1
5.752566945E2,-4.383282909E1
5.754578627E2,-4.383774782E1
5.756619264E2,-4.240163338E1
5.758627933E2,-4.379113420E1
5.760607590E2,-2.239709616E1
5.762653520E2,-2.854236280E1
5.764652381E2,-2.654265903E1
5.766653237E2,-2.033491073E1
5.768655403E2,-3.982413279E1
5.770665213E2,-2.428672273E1
5.772589062E2,-1.903356076E1
5.774651942E2,-2.699387030E1
5.776668015E2,-2.379943333E1
5.778663643E2,-2.729711694E1
5.780665024E2,-2.774434212E1
5.782653536E2,-3.077266535E1
5.784605557E2,-4.192824028E1
5.786667855E2,-4.955732038E1
5.788664880E2,-3.080193118E1
5.790662050E2,-3.497211877E1
5.792653738E2,-5.129870667E1
5.794662994E2,-5.257385628E1
5.796607403E2,-4.859607829E1
5.798661680E2,-4.250521523E1
5.800666350E2,-5.209995774E1
5.802662258E2,-2.968133425E1
5.804656596E2,-3.481571692E1
5.806659003E2,-5.243826390E1
5.808639587E2,-2.696186655E1
5.810668216E2,-4.495107847E1
5.812661987E2,-5.124340033E1
5.814658996E2,-4.579640224E1
5.816657633E2,-4.520039728E1
5.818667745E2,-4.878693580E1
5.820657203E2,-3.319412513E1
5.822664412E2,-4.918929409E1
5.824659705E2,-4.973007682E1
5.826670560E2,-4.699875224E1
5.828659775E2,-4.362009271E1
5.830663516E2,-3.064747892E1
5.832656286E2,-4.056868934E1
5.834653693E2,-2.979483176E1
5.836652665E2,-2.978528796E1
5.838655456E2,-3.804362689E1
5.840657539E2,-3.436462760E1
5.842654409E2,-4.260267972E1
5.844657302E2,-4.864224232E1
5.846661833E2,-4.392351680E1
5.848654953E2,-4.963613079E1
5.850651517E2,-3.739688017E1
5.852659637E2,-4.654192421E1
5.854653268E2,-4.707191968E1
5.856652440E2,-4.227612093E1
5.858654090E2,-4.445809046E1
5.860654027E2,-3.295421294E1
5.862665828E2,-3.949347206E1
5.864660723E2,-4.305319558E1
5.866662369E2,-4.399173865E1
5.868655616E2,-4.569366801E1
5.870656243E2,-4.405710998E1
5.872655990E2,-3.618143298E1
5.874654926E2,-3.846332024E1
5.876664650E2,-3.975614647E1
5.878662699E2,-3.969098582E1
5.880662972E2,-3.899771527E1
5.882660163E2,-3.682627243E1
5.884666739E2,-3.838180690E1
5.886662963E2,-3.920598641E1
5.888659130E2,-3.840818755E1
5.890657480E2,-4.129626532E1
5.892659391E2,-3.656008442E1
5.894655520E2,-4.544743575E1
5.896665520E2,-4.441886970E1
5.898655080E2,-4.614714923E1
5.900665677E2,-4.299170687E1
5.902660313E2,-4.314171850E1
5.904659261E2,-4.597299865E1
5.906619169E2,-4.636411123E1
5.908581664E2,-4.773790061E1
5.910668163E2,-4.667032968E1
5.912672016E2,-4.299140306E1
5.914668563E2,-4.243860499E1
